Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Nombre del anuncio2026-01-29 08:24:18,Paused,Campaign paused;  ; Ad completed,1855657505932449,Grupo de anuncios 20260129082246,1855657613682785,20.93,0.00,0.21,100207,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",20947,0.00100,"20,90%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-23 11:22:37,Paused,Campaign paused;  ; Ad completed,1854433229530210,Vieo Views,1855125261601810,14.64,0.00,0.29,51186,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",10006,0.00146,"19,55%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-18 18:27:47,Paused,Campaign paused;  ; Ad completed,1854433229530210,Vieo Views,1854698970266625,59.02,0.00,0.27,219281,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",49971,0.00118,"22,79%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-18 18:27:47,Paused,Campaign paused;  ; Ad completed,1854433229530210,Vieo Views,1854698977290242,5.35,0.00,0.16,33012,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",6613,0.00081,"20,03%",-,-,-,TikTok account,Your own content,-,USD
Ad name2026-01-15 20:04:45,Paused,Campaign paused;  ; Ad completed,1854433229530210,Vieo Views,1854433327136193,42.61,0.00,0.31,139140,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",22955,0.00186,"16,50%",-,-,-,TikTok account,Your own content,-,USD
Total of 5 results,-,-,-,-,-,142.55,0.00,0.26,542826,0,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
