"Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Tipo de compra","Identificador de la campaña","Nombre de la cuenta","Identificador de la cuenta",instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"Buk - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2024-05-12,2024-05-13,2026-01-01,2024-05-12,2026-01-31,Interacción,AUCTION,120208856205240055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Marzo 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,1969-12-31,-,,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2025-07-14,2025-07-14,2026-01-01,1969-12-31,2026-01-31,Interacción,AUCTION,120217493950490055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Diciembre 2025",inactive,39809,actions:post_engagement,0.00449245,"Con el presupuesto del conjunto de anuncios",0,178.84,344593,253850,"En curso","7 días tras clic o 1 día tras visualización",,,11.55246914,,1.357467,0.704511,0.518989,252343,357119,54609,0.021374,0.006878,,8367,26002,,,11778,,0,1490,5137,663,663,0.016004,0.121826,0.120027,0.015184,0.432394,3.417945,0.578294,4.402206,0.192401,0.261178,11175,1468,0.269744,0.269744,,,174,44.71,4,1,7,0.004492,,7069,0.004492,,,,39813,39809,,,,46,58,2,,0,,,2,0,0,0,89.42,89.42,,89.42,74,,2,,,,5,,,,,7.545713,20704,12262,8647,6387,6151,6,2025-12-05,2026-01-05,2026-01-01,2025-12-05,2026-01-31,Interacción,AUCTION,120236788220160055,Buk,3327383120855148,,0,,344637,0,0,0.0155513,4.53023439,11500,0,0,,0,0,2671.74496644,0,,,,,,,1.35746701,0,19958,0,0.02428082
"[Buk] Obj - Interacción - Enero  2026",inactive,557114,actions:post_engagement,0.001198,"Con el presupuesto del conjunto de anuncios",0,667.42,1150634,710802,"En curso","7 días tras clic o 1 día tras visualización",,,48.4180026,,1.618783,0.938968,0.580045,703235,1238077,848574,0.003269,0.001222,,204143,546389,,,9095,,0,2503,2,106,101,0.075895,0.270759,0.266648,0.073383,0.217532,0.790434,0.346791,1.237194,0.009212,0.014209,8794,2465,6.296415,6.608119,,,493,133.484,5,2,63,0.001198,,7815,0.001198,,,,557119,557114,,,,109,233,3,,0,,2,3,0,0,0,222.473333,222.473333,,222.473333,,,3,,,,17,,,,,47.485908,332869,204313,125822,74850,56704,10,2026-01-06,2026-03-10,2026-01-01,2026-01-06,2026-01-31,Interacción,AUCTION,120238431945640055,Buk,3327383120855148,,0,,1150968,0,0,0.0287681,3.26391878,23200,0,0,,0,0,22257.8505793,0,,,,,,,1.61878273,0,67429,0,0.17741784
