"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-01-01,2026-01-31,"[Depilé] Video-31 29/12 - IG - 10",not_delivering,930,actions:post_engagement,0.03639785,3,Diario,33.85,8841,4187,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:39:19-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -10",3.828752,2.111536,
2026-01-01,2026-01-31,"[Depilé] Video-05/01 - IG - 11",not_delivering,1019,actions:post_engagement,0.03653582,3,Diario,37.23,10529,6423,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -11",3.535948,1.639265,132
2026-01-01,2026-01-31,"[Depilé] Video-09/01 - IG - 13",not_delivering,1620,actions:post_engagement,0.02016049,3,Diario,32.66,17957,11546,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:53:37-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -13",1.818789,1.555257,158
2026-01-01,2026-01-31,"Video 15 segundos",not_delivering,166301,video_thruplay_watched_actions,0.00209999,500,Total,349.23,189850,34102,2026-02-28,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-03T10:50:11-0500,-,-,-,"[Depilé] Video 15 segundos",1.839505,5.567122,503
2026-01-01,2026-01-31,"[Depilé] 19/11/2025 - Seguidores",not_delivering,2753,reach,21.57646204,300,Total,59.4,6493,2753,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-06T05:52:21-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg - Seguidores",9.148314,2.358518,
2026-01-01,2026-01-31,"[Depilé] Video-09/01 - IG - 13",not_delivering,1380,actions:post_engagement,0.02103623,3,Diario,29.03,17406,10635,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-15T11:11:14-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -14",1.667816,1.636671,166
2026-01-01,2026-01-31,"[Depilé] Video- 15/01 - FB",not_delivering,43542,actions:post_engagement,0.00086032,3,Diario,37.46,73302,62823,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-15T18:44:28-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -15",0.511037,1.166802,38
2026-01-01,2026-01-31,"[Depilé] Video-15/01 - IG - 15",not_delivering,40560,actions:post_engagement,0.00091075,3,Diario,36.94,69466,62144,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-15T18:47:49-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -15",0.531771,1.117823,35
2026-01-01,2026-01-31,"[Depilé] Video-18/01 - IG",not_delivering,28,actions:post_engagement,0.03178571,3,Diario,0.89,280,268,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -16",3.178571,1.044776,2
2026-01-01,2026-01-31,"[Depilé] Video-19/01 - IG",not_delivering,16694,actions:post_engagement,0.00107703,3,Diario,17.98,33152,31099,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-26T20:11:47-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -17",0.54235,1.066015,
2026-01-01,2026-01-31,"[Depilé] 1 - Post estático - 22/11/25",not_delivering,189,actions:post_engagement,0.02952381,3,Diario,5.58,1945,1799,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-15T17:21:38-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG - 1",2.868895,1.081156,22
2026-01-01,2026-01-31,"[Depilé] Video-07/01 - IG - 12",not_delivering,967,actions:post_engagement,0.03168563,3,Diario,30.64,10916,7249,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-12T15:51:21-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -12",2.806889,1.505863,86
2026-01-01,2026-01-31,"[Depilé] Video-27/01 - IG",not_delivering,17658,actions:post_engagement,0.00173859,10,Diario,30.7,53602,47794,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-29T08:33:13-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -18",0.57274,1.121522,1
