"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-01-01,2026-01-31,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2026-01-01,2026-01-31,"[Depilé] Obj.Ventas - Registros - Investigación",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","Configuración de atribución múltiple",0,0,
2026-01-01,2026-01-31,"[Depilé] Obj.Reconocimiento - Video Madre - 32 seg",inactive,2357079,reach,0.52467906,"Con el presupuesto del conjunto de anuncios",0,1236.71,3329492,2357079,2026-03-31,"7 días tras clic o 1 día tras visualización",0.371441,1.41255,617
2026-01-01,2026-01-31,"[Depilé] Obj.Interacción - Depilé Glow - Piezas estáticas",not_delivering,190144,actions:post_engagement,0.00300593,"Con el presupuesto del conjunto de anuncios",0,571.56,545577,298010,"En curso","7 días tras clic o 1 día tras visualización",1.047625,1.830734,1275
2026-01-01,2026-01-31,"[Depilé] Reconocimiento - Sorteo - Ganadores",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-12-14,"7 días tras clic o 1 día tras visualización",0,0,
2026-01-01,2026-01-31,"[Depile] Sorteo Bad Bunny",inactive,628946,reach,0.15834428,"Con el presupuesto del conjunto de anuncios",0,99.59,680339,628946,2026-01-14,"7 días tras clic o 1 día tras visualización",0.146383,1.081713,77
2026-01-01,2026-01-31,"[Depilé] Obj. Reconocimiento - Video 15 seg",not_delivering,166301,video_thruplay_watched_actions,0.00209999,"Con el presupuesto del conjunto de anuncios",0,349.23,189850,34102,2026-03-31,"7 días tras clic o 1 día tras visualización",1.839505,5.567122,503
