"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-12-01,2025-12-31,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2025-12-01,2025-12-31,"[Depilé] Obj - Interacción - Noviembre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-11-30,"7 días tras clic o 1 día tras visualización",0,0,
2025-12-01,2025-12-31,"[Depilé] Objt. Reconocimiento - Depilé Glow - Intriga",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-11-19,"7 días tras clic o 1 día tras visualización",0,0,
2025-12-01,2025-12-31,"[Depilé] Obj.Ventas - Registros - Investigación",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","Configuración de atribución múltiple",0,0,
2025-12-01,2025-12-31,"[Depilé] Obj.Reconocimiento - Video Madre - 32 seg",inactive,590714,reach,0.51596881,"Con el presupuesto del conjunto de anuncios",0,304.79,849975,590714,2026-03-31,"7 días tras clic o 1 día tras visualización",0.358587,1.438894,161
2025-12-01,2025-12-31,"[Depilé] Obj.Interacción - Depilé Glow - Piezas estáticas",not_delivering,85714,actions:post_engagement,0.01169716,"Con el presupuesto del conjunto de anuncios",0,1002.61,743420,296543,"En curso","7 días tras clic o 1 día tras visualización",1.348645,2.506955,4060
2025-12-01,2025-12-31,"[Depilé] Reconocimiento - Sorteo - Ganadores",inactive,279,reach,8.88888889,"Con el presupuesto del conjunto de anuncios",0,2.48,326,279,2025-12-14,"7 días tras clic o 1 día tras visualización",7.607362,1.168459,
