"Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Tipo de compra","Identificador de la campaña","Nombre de la cuenta","Identificador de la cuenta",instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"Buk - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2024-05-12,2024-05-13,2025-10-01,2024-05-12,2025-10-31,Interacción,AUCTION,120208856205240055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Marzo 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,1969-12-31,-,,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2025-07-14,2025-07-14,2025-10-01,1969-12-31,2025-10-31,Interacción,AUCTION,120217493950490055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Septiembre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2025-09-30,"7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2025-09-02,2025-12-05,2025-10-01,2025-09-02,2025-10-31,Interacción,AUCTION,120231559752000055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Octubre 2025",inactive,88490,actions:post_engagement,0.00191965,"Con el presupuesto del conjunto de anuncios",0,169.87,203308,136838,2025-10-31,"7 días tras clic o 1 día tras visualización",,,43.52509493,,1.485757,1.241395,0.83553,134838,257185,146449,0.003221,0.002036,,52740,83436,,,3177,,0,44,131,20,20,0.060345,3.860682,3.860682,0.053469,0.021642,1.562654,0.032155,2.057177,0.009837,0.014616,2815,44,8.4935,8.4935,,,33,56.623333,3,0,15,0.00192,,4827,0.00192,,,,88493,88490,,,,30,7,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,41.039211,105937,77094,61167,53622,52675,5,2025-10-01,2025-10-27,2025-10-01,2025-10-01,2025-10-31,Interacción,AUCTION,120233354323870055,Buk,3327383120855148,,0,,203349,0,0,0.09543258,1.30080826,1780,0,0,,0,0,201113.63636364,0,,,,,,,1.48575688,0,57729,0,0.25940937
"[Buk] Obj - Interacción - Octubre 2025 - Conjunto de anuncios por anuncio",inactive,12445,actions:post_engagement,0.00444837,"Con el presupuesto del conjunto de anuncios",0,55.36,47238,39486,2025-10-31,"7 días tras clic o 1 día tras visualización",,,26.34531521,,1.196323,1.402016,1.171938,38511,53413,19075,0.010242,0.005607,,5405,9873,,,2045,,0,6,491,,,0.030251,9.226667,9.226667,0.027071,0.012702,4.329142,0.015195,4.634554,,,1830,6,,,,,26,55.36,1,3,84,0.004448,,1939,0.004448,,,,12446,12445,,,,37,15,,,0,,,,0,0,0,,,,,,,,,,,,,,,,20.900546,12424,8756,6539,5541,5340,5,2025-10-27,2025-12-05,2025-10-01,2025-10-27,2025-10-31,Interacción,AUCTION,120234767927460055,Buk,3327383120855148,,0,,47249,0,0,0.08516923,1.64615307,650,0,0,,0,0,207416.66666667,0,,,,,,,1.19632275,0,7912,0,0.11442059
