"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-02-01,2026-02-28,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2026-02-01,2026-02-28,"[Depilé] Obj.Ventas - Registros - Investigación",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","Configuración de atribución múltiple",0,0,
2026-02-01,2026-02-28,"[Depilé] Obj.Reconocimiento - Video Madre - 32 seg",inactive,2671362,reach,0.60392788,"Con el presupuesto del conjunto de anuncios",0,1613.31,4107165,2671362,2026-03-31,"7 días tras clic o 1 día tras visualización",0.392804,1.53748,679
2026-02-01,2026-02-28,"[Depilé] Obj.Interacción - Depilé Glow - Piezas estáticas",not_delivering,371157,actions:post_engagement,0.0024034,"Con el presupuesto del conjunto de anuncios",0,892.04,1012243,477589,"En curso","7 días tras clic o 1 día tras visualización",0.881251,2.119486,543
2026-02-01,2026-02-28,"[Depile] Sorteo Bad Bunny",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,2026-01-14,"7 días tras clic o 1 día tras visualización",0,0,
2026-02-01,2026-02-28,"[Depilé] Obj. Reconocimiento - Video 15 seg",not_delivering,62287,video_thruplay_watched_actions,0.00241704,"Con el presupuesto del conjunto de anuncios",0,150.55,69945,13248,2026-03-31,"7 días tras clic o 1 día tras visualización",2.152405,5.279665,203
