"ID de comentario","ID de usuario","Nombre de usuario","Apodo","Comentario","Hora de comentar","Digg Count","Author Digged","Conteo de respuestas","Fijado en la parte superior","Página de inicio del usuario"
"=""7616974334544937749""","=""6994576670963893253""","rianama14","rianama","precio hay en Perú","14/3/2026, 6:10:51","0","No","2","No","https://www.tiktok.com/@rianama14"
"=""7617630991637955345""","=""7366290580744406022""","tathi997","tathianaTM😘","donde lo venden 🥺","16/3/2026, 0:39:19","1","Sí","1","No","https://www.tiktok.com/@tathi997"
"=""7617568162347320065""","=""6655116188663709702""","jenmarilyn","Jen's Store 🦋","usaré la crema porque con la banda tuve una mala experiencia 🥲","15/3/2026, 20:35:08","0","No","1","No","https://www.tiktok.com/@jenmarilyn"
"=""7617286792949547796""","=""6782157038409368581""","teresa_miranda9","Teresa Miranda","Yo uso la crema, probaré la banda","15/3/2026, 2:23:25","0","No","1","No","https://www.tiktok.com/@teresa_miranda9"
"=""7616899609181061904""","=""7131865907740132357""","vivianavera2003","vivi2003🦋","alguien que lo usa recomienda?","14/3/2026, 1:20:51","2","Sí","1","No","https://www.tiktok.com/@vivianavera2003"
"=""7617234147401286417""","=""6717836520026211333""","ariabii","Ari","Precio??","14/3/2026, 22:59:20","0","No","1","No","https://www.tiktok.com/@ariabii"
