"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-03-01,2026-03-31,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2026-03-01,2026-03-31,"[Depilé] Obj.Ventas - Registros - Investigación",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","Configuración de atribución múltiple",0,0,
2026-03-01,2026-03-31,"[Depilé] Obj.Reconocimiento - Video Madre - 32 seg",inactive,1991714,reach,0.62718844,"Con el presupuesto del conjunto de anuncios",0,1249.18,3474682,1991714,2026-03-31,"7 días tras clic o 1 día tras visualización",0.359509,1.744569,789
2026-03-01,2026-03-31,"[Depilé] Obj.Interacción - Depilé Glow - Piezas estáticas",not_delivering,521263,actions:post_engagement,0.00173523,"Con el presupuesto del conjunto de anuncios",0,904.51,1106424,674435,"En curso","7 días tras clic o 1 día tras visualización",0.817508,1.64052,781
2026-03-01,2026-03-31,"[Depilé] Obj. Reconocimiento - Video 15 seg",not_delivering,17341,video_thruplay_watched_actions,0.01152356,"Con el presupuesto del conjunto de anuncios",0,199.83,45367,3167,2026-03-31,"7 días tras clic o 1 día tras visualización",4.404744,14.324913,480
