Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Nombre del anuncio2026-02-13 19:03:21,Paused,Campaign paused;  ; Ad completed,1856852553617553,[Buk] Obj. Visualizaciones,1857056741455953,68.49,0.00,0.34,200568,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",42750,0.00160,"21,31%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-12 10:40:57,Paused,Campaign paused;  ; Ad completed,1856852553617553,[Buk] Obj. Visualizaciones,1856934502980690,15.98,0.00,0.25,63330,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",8218,0.00194,"12,98%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-11 13:09:31,Paused,Campaign paused;  ; Ad completed,1856852553617553,[Buk] Obj. Visualizaciones,1856853324561666,48.83,0.00,0.33,146767,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",29229,0.00167,"19,92%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-02-03 12:27:51,Paused,Campaign paused;  ; Ad completed,1856125601264641,[BUK] Publico Objetivo - Golosinas,1856125144168626,90.42,0.00,0.21,421346,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",79050,0.00114,"18,76%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2026-01-29 08:24:18,Paused,Campaign paused;  ; Ad completed,1855657505932449,Grupo de anuncios 20260129082246,1855657613682785,8.63,0.00,0.22,39620,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",7948,0.00109,"20,06%",-,-,-,TikTok account,Your own content,-,USD
Total of 5 results,-,-,-,-,-,232.35,0.00,0.27,871631,0,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
