"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[BUK] FB Reel - 19 de ene 2026 -¿Tienes un chisme nuclear y tu",not_delivering,,,,3,Diario,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"[BUK] 7. Objt. Interacción - FB",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-01-26,2026-01-26,2026-02-01,2026-01-26,2026-02-28,Interacción,120238431945640055,Buk,120239139530230055,120239139530240055,3327383120855148,,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[BUK]  Reel - 19 ene 2026 - ¿Tienes un chisme nuclear y tu",not_delivering,303,actions:post_engagement,0.02336634,5,Diario,7.08,5407,4825,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-30T07:52:22-0500,-,-,-,"[BUK] 8. Objt. Interacción - IG",,,5.60384687,,1.120622,1.467358,1.309414,4825,5412,,,,,,,,,16,,0,10,,5,5,0.4425,0.708,0.708,0.4425,0.184945,0.295913,0.207254,0.331606,0.092473,0.103627,16,10,1.416,1.416,,,5,,,0,2,0.023366,,284,0.023366,,,,303,303,,,,1,6,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-01-30,2026-01-30,2026-02-01,2026-01-30,2026-02-28,Interacción,120238431945640055,Buk,120239269549960055,120239269549970055,3327383120855148,,,0,,5407,0,0,0.03078261,4.76683938,230,0,0,,0,0,3030,0,,,,,,,1.12062176,0,303,0,0
"[BUK]  Reel - 29ene 2026",not_delivering,229,actions:post_engagement,0.03266376,5,Diario,7.48,1911,1704,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-01-30T07:53:37-0500,-,-,-,"[BUK] 9. Objt. Interacción - IG",,,11.98325484,,1.121479,4.389671,3.914181,1704,1918,,,,,,,,,5,,0,,,,,1.496,,,1.496,,0.261643,0,0.293427,,,5,,,,,,5,,,0,,0.032664,,228,0.032664,,,,229,229,,,,,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-01-30,2026-01-30,2026-02-01,2026-01-30,2026-02-28,Interacción,120238431945640055,Buk,120239269565320055,120239269565330055,3327383120855148,,,0,,1911,0,0,0.04986667,8.8028169,150,0,0,,0,0,,0,,,,,,,1.12147887,0,229,,0
"[BUK] Reel - 02/02 Pasar de 35°C a la congeladora de la oficina es un atentado biológico. 🥵❄️ Que el choque térmico no te rompa la garganta. Activa tu escudo con BUK Naranja 🍊🛡️ #ChoqueTermico #OficinaCongelada #BukTeSalva #Verano #BukNaranja",not_delivering,138755,actions:post_engagement,0.00138157,10,Diario,191.7,292128,208321,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-12T09:26:34-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[BUK] 1. IG - Publico Objetivo  Golosinas",,,47.49801457,,1.402297,0.920214,0.656219,204847,310425,280316,0.007658,0.001391,,25034,137794,,,263,,0,1,,1,1,0.731679,191.7,191.7,0.728897,0.000342,0.090029,0.00048,0.125767,0.000342,0.00048,262,1,191.7,191.7,,,228,,,0,11,0.001382,,793,0.001382,,,,138755,138755,,,,77,79,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,47.169049,109027,55086,28185,11232,10001,6,not_delivering,2026-02-03,2026-02-03,2026-02-01,2026-02-03,2026-02-28,Interacción,120239397673820055,Buk,120239397702400055,120239397702390055,3327383120855148,,,0,,292157,0,0,0.02622435,3.50900773,7310,0,0,,0,0,13875500,0,,,,,,,1.40229742,0,10962,0,0.08569531
"[BUK] Reel - 30/01 Elegir el camino correcto es difícil... a menos que el camino tenga sabor a menta. ❄️ Mejor lleva tu ""aire acondicionado de bolsillo"" con tus caramelos Buk 🌿 #Buk #Tos #Pinguino",not_delivering,5292,actions:post_engagement,0.03617725,10,Diario,191.45,93158,49977,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-12T09:26:21-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[BUK] 2. IG - Publico Objetivo  Golosinas",,,5.68067155,,1.864017,3.830762,2.055111,49977,93234,,,,,,,,,90,,0,1,,,,2.127222,191.45,191.45,2.127222,0.001073,0.09661,0.002001,0.180083,,,90,1,,,,,70,,,5,4,0.036177,,5188,0.036177,,,,5292,5292,,,,56,43,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-02-03,2026-02-03,2026-02-01,2026-02-03,2026-02-28,Interacción,120239397673820055,Buk,120239397821150055,120239397821140055,3327383120855148,,,0,,93223,0,0,0.05964174,6.42295456,3210,0,0,,0,0,529200,0,,,,,,,1.86401745,0,5292,0,0
"[BUK] Reel - 02/02 Pasar de 35°C a la congeladora de la oficina es un atentado biológico. 🥵❄️ Que el choque térmico no te rompa la garganta. Activa tu escudo con BUK Naranja 🍊🛡️ #ChoqueTermico #OficinaCongelada #BukTeSalva #Verano #BukNaranja",not_delivering,242542,actions:post_engagement,0.00079545,10,Diario,192.93,382757,283265,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-03T11:30:13-0500,Promedio,Promedio,"Por encima del promedio","[BUK] 1. FB - Publico Objetivo  Golosinas",,,63.36709714,,1.351233,0.681094,0.504053,281789,448662,407073,0.003335,0.000802,,57854,240512,,,4693,,0,884,,,,0.043209,0.221759,0.218247,0.04111,0.230956,1.226104,0.307133,1.576263,,,4465,870,,,,,0,48.2325,4,0,4,0.000795,,1016,0.000795,,,,242546,242542,,,,20,106,,,0,,,,0,0,0,,,,,,,,,,,4,,,,,62.836735,208411,129760,66596,27557,22193,7,not_delivering,2026-02-03,2026-02-03,2026-02-01,2026-02-03,2026-02-28,Interacción,120239397673820055,Buk,120239398083930055,120239398083920055,3327383120855148,,,0,,413657,0,0,0.05214324,1.30619738,3700,0,0,,0,0,27436.87782805,0,,,,,,,1.35123294,0,24223,0,0.15115073
"[BUK] Reel - 💀 El verdadero terror no es q - 04/02 BB",not_delivering,1447,actions:post_engagement,0.01633725,3,Diario,23.64,23284,14903,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-09T17:47:00-0500,-,-,-,"[BUK] 2. FB - Publico Objetivo  Golosinas",,,6.21456794,,1.56237,1.586258,1.015289,14903,23358,,,,,,,,,1556,,0,72,5,,,0.015729,0.337714,0.328333,0.015193,0.309225,6.682701,0.469704,10.085218,,,1503,70,,,,,0,,,0,12,0.016337,,1346,0.016337,,,,1447,1447,,,,10,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-02-09,2026-04-08,2026-02-01,2026-02-09,2026-02-28,Interacción,120239397673820055,Buk,120239610069770055,120239610069760055,3327383120855148,,,0,,23300,0,0,0.06566667,2.41562102,360,0,0,,0,0,2009.72222222,0,,,,,,,1.56236999,0,1447,0,0
"[BUK] Reel - 💀 El verdadero terror no es q - 04/02",not_delivering,16849,actions:post_engagement,0.01029379,10,Diario,173.44,240321,126611,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-12T09:25:30-0500,"Por debajo del promedio - 20% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[BUK] 3. IG - Publico Objetivo  Golosinas",,,7.0110394,,1.898105,1.369865,0.721701,126611,240403,,,,,,,,,231,,0,3,,,,0.75738,57.813333,57.813333,0.750823,0.001248,0.096121,0.002369,0.180869,,,229,3,,,,,187,,,1,8,0.010294,,16257,0.010294,,,,16849,16849,,,,525,56,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,not_delivering,2026-02-09,2026-04-08,2026-02-01,2026-02-09,2026-02-28,Interacción,120239397673820055,Buk,120239610112580055,120239610112570055,3327383120855148,,,0,,240423,0,0,0.02843279,4.81790682,6100,0,0,,0,0,561633.33333333,0,,,,,,,1.89810522,0,16849,0,0
"[BUK] Reel - POV: Es 2006, tienes el MP3 - 11/02",not_delivering,9890,actions:post_engagement,0.00174014,3,Diario,17.21,20337,17757,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:49:58-0500,-,-,-,"[BUK] 4. IG - Publico Objetivo  Golosinas",,,48.63057481,,1.145295,0.969195,0.846241,17463,21612,19577,0.007271,0.001747,,2367,9851,,,31,,0,,,,,0.555161,,,0.555161,,0.152432,0,0.174579,,,31,,,,,,27,,,1,3,0.00174,,31,0.00174,,,,9890,9890,,,,4,1,,,0,,,,0,0,0,,,,,,,,,,,,,,,,48.438806,4768,2321,1030,602,465,8,inactive,2026-02-11,2026-04-08,2026-02-01,2026-02-11,2026-02-28,Interacción,120239397673820055,Buk,120239689210620055,120239689210630055,3327383120855148,,,0,,20339,0,0,0.01774227,5.46263445,970,0,0,,0,0,,0,,,,,,,1.14529481,0,504,,0.11638885
"[BUK] Reel - POV: Es 2006, tienes el MP3 - 11/02",not_delivering,24070,actions:post_engagement,0.00080972,3,Diario,19.49,36410,32695,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:52:36-0500,-,-,-,"[BUK] 3. FB - Publico Objetivo  Golosinas",,,66.10821203,,1.113626,0.596116,0.535293,32212,38444,35948,0.003229,0.000813,,6036,23983,,,250,,0,,,,,0.079228,,,0.07796,,0.686625,0,0.752409,,,246,,,,,,0,,,0,2,0.00081,,75,0.00081,,,,24070,24070,,,,1,9,,,0,,,,0,0,0,,,,,,,,,,,,,,,,65.869267,12273,5976,2958,1718,1197,8,inactive,2026-02-11,2026-04-08,2026-02-01,2026-02-11,2026-02-28,Interacción,120239397673820055,Buk,120239689289700055,120239689289690055,3327383120855148,,,0,,36436,0,0,0.01344138,4.43492889,1450,0,0,,0,0,,0,,,,,,,1.11362594,0,1284,,0.16577863
