"Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Tipo de compra","Identificador de la campaña","Nombre de la cuenta","Identificador de la cuenta",instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"Buk - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2024-05-12,2024-05-13,2026-03-01,2024-05-12,2026-03-31,Interacción,AUCTION,120208856205240055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Marzo 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,1969-12-31,-,,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2025-07-14,2025-07-14,2026-03-01,1969-12-31,2026-03-31,Interacción,AUCTION,120217493950490055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Diciembre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2025-12-05,2026-01-05,2026-03-01,2025-12-05,2026-03-31,Interacción,AUCTION,120236788220160055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Enero  2026",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",,,,,0,0,0,0,0,,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,,,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,00:00:00,2026-01-06,2026-03-10,2026-03-01,2026-01-06,2026-03-31,Interacción,AUCTION,120238431945640055,Buk,3327383120855148,,0,,0,0,0,0,0,0,0,0,,0,0,,0,,,,,,,,,0,,
"[Buk] Obj - Interacción - Marzo / Febrero  2026",inactive,128574,actions:post_engagement,0.00198648,"Con el presupuesto del conjunto de anuncios",0,255.41,356358,306849,"En curso","7 días tras clic o 1 día tras visualización",,,36.08000943,,1.161346,0.832364,0.716723,303150,376391,215868,0.009056,0.002142,,28204,119233,,,2210,,0,434,,,,0.12042,0.589861,0.588502,0.11557,0.121788,0.620163,0.141112,0.691219,,,2121,433,,,,,156,255.41,1,0,13,0.001986,,8613,0.001986,,,,128575,128574,,,,207,74,,,0,,,,0,0,0,,,,,,,,,,,10,,,,,33.458769,93581,53759,29393,14689,11755,8,2026-02-03,2026-04-08,2026-03-01,2026-02-03,2026-03-31,Interacción,AUCTION,120239397673820055,Buk,3327383120855148,,0,,356434,0,0,0.02850558,2.920003,8960,0,0,,0,0,29625.34562212,0,,,,,,,1.16134646,0,21096,0,0.07914513
"[Buk] Obj - Interacción - Marzo 2026",completed,758231,actions:post_engagement,0.00109618,"Con el presupuesto del conjunto de anuncios",0,831.16,1106772,702236,2026-03-31,"7 días tras clic o 1 día tras visualización",,,68.50832873,,1.576068,1.183591,0.750977,696079,1215906,1084941,0.002351,0.001104,,353570,752810,,,5398,,0,391,,,,0.155561,2.125729,2.125729,0.153976,0.035328,0.487725,0.055679,0.760855,,,5343,391,,,,,699,,,5,112,0.001096,,4338,0.001096,,,,758231,758231,,,,270,310,,,0,,,1,0,0,0,,,,831.16,,,,,,,3,,,,,68.018526,578272,402694,288461,133785,82952,13,2026-03-10,2026-03-10,2026-03-01,2026-03-10,2026-03-31,Interacción,AUCTION,120240665952090055,Buk,3327383120855148,,0,,1106838,0,0,0.02451799,4.82743693,33900,0,0,,0,0,193920.97186701,0,,,,,,,1.57606844,0,88373,0,0.31946056
