"ID de comentario","ID de usuario","Nombre de usuario","Apodo","Comentario","Hora de comentar","Digg Count","Author Digged","Conteo de respuestas","Fijado en la parte superior","Página de inicio del usuario"
"=""7619503785413067538""","=""7518508093580657720""","jobarellanocuyuba","""El CREMITA JOB""","Si me saluda compró buk","21/3/2026, 1:46:40","0","No","4","No","https://www.tiktok.com/@jobarellanocuyuba"
"=""7619061237284094728""","=""7559043096455119883""","eduxwrr","📿","[ステッカー] saludame","19/3/2026, 21:09:03","0","No","2","No","https://www.tiktok.com/@eduxwrr"
"=""7620112001155449618""","=""7253291089892393989""","josemanuelmunayag","perro pro","pobre los que asen asmr","22/3/2026, 17:06:30","1","Sí","1","No","https://www.tiktok.com/@josemanuelmunayag"
"=""7621391731758203664""","=""7000396795063976965""","angelo_793","•™𝖆𝖓𝖌𝖑𝖔 𝖏𝖗 🗿","Me saludas 😁😁","26/3/2026, 3:52:36","0","No","1","No","https://www.tiktok.com/@angelo_793"
"=""7619758129497211666""","=""7579791158441231367""","alondra.ivanna.ve4","👽🖤🌑⛓️Tu Alondrita⛓️🌑🖤👽","[ステッカー] q buen anuncio eh","21/3/2026, 18:13:18","1","Sí","0","No","https://www.tiktok.com/@alondra.ivanna.ve4"
"=""7619001863791723284""","=""7166863537741710341""","derek_13500","Derek","[ステッカー] ","19/3/2026, 17:18:40","1","No","1","No","https://www.tiktok.com/@derek_13500"
"=""7619674024830321429""","=""7566809861700928513""","roxifrefire2","notificacion.msg","[ステッカー] saludame😁😁","21/3/2026, 12:46:59","2","Sí","1","No","https://www.tiktok.com/@roxifrefire2"
"=""7619667943535182610""","=""6962546561704821766""","floryesica7","floryesica7","los que asen ASMR por años 💀☠️☠️","21/3/2026, 12:23:26","2","No","2","No","https://www.tiktok.com/@floryesica7"
"=""7619700558139638546""","=""7420807453757309958""","losmaleantes_04","💴💳todo a 1  _ sol 🚬🔫😁","saluda y me compro un buk 😁","21/3/2026, 14:29:51","0","No","2","No","https://www.tiktok.com/@losmaleantes_04"
