"ID de comentario","ID de usuario","Nombre de usuario","Apodo","Comentario","Hora de comentar","Digg Count","Author Digged","Conteo de respuestas","Fijado en la parte superior","Página de inicio del usuario"
"=""7618443114035151636""","=""259271927155011584""","estefanyolivars","Estefany Olivars","siguen siendo mis favoritos","18/3/2026, 5:10:37","2","No","2","No","https://www.tiktok.com/@estefanyolivars"
"=""7618321320572568338""","=""7559043096455119883""","eduxwrr","📿","[ステッカー] yo me acuerdo","17/3/2026, 21:17:55","3","Sí","2","No","https://www.tiktok.com/@eduxwrr"
"=""7623503783063323413""","=""6805622643854525446""","yachimeraya","Yachi Meraya","Yo los extraño 🙁 me encantaban los de fresa y menta, eran riquísimos. Ojalá sigan igual 😁 ojalá los encuentre pronto en farmacias 🙏","31/3/2026, 21:28:35","1","Sí","1","No","https://www.tiktok.com/@yachimeraya"
"=""7618031853362021141""","=""6809441088492471301""","josegamonal","alessia nicole","🥰🥰🥰🥰🥰🥰😁😁😁🥰🥰🥰😁😁😁🥰🥰🥰🥰🥰🥰😁😁😁😁😁😁🥰🥰🥰🥰🥰🥰😁😁😁","17/3/2026, 2:34:34","2","No","2","No","https://www.tiktok.com/@josegamonal"
