"Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de resultados","Indicador de valor de resultado","Tasa de resultados","Valor de resultados",Frecuencia,"Costo por mil cuentas del centro de cuentas alcanzadas (USD)","CPM (costo por mil impresiones) (USD)",Espectadores,Visualizaciones,"Reproducciones de video","Costo por ThruPlay (USD)","Costo por reproducción de video de 3 segundos (USD)","Costo por reproducción de video continua de 2 segundos (USD)",ThruPlays,"Reproducciones de video de 3 segundos",unique_video_continuous_2_sec_watched_actions:video_view,"Reproducciones de video continuas de 2 segundos","Clics (todos)",shop_clicks,"Clics en Business AI","Clics en el enlace","Clics en la foto","Clics salientes","Clics salientes únicos","Costo por clic único (todos) (USD)","Costo por clic único en el enlace (USD)","CPC (costo por clic en el enlace) (USD)","CPC (todos) (USD)","CTR (porcentaje de clics en el enlace)","CTR (todos)","CTR único (porcentaje de clics en el enlace)","CTR único (todos)","Porcentaje de clics salientes","Porcentaje de clics salientes únicos","Clics únicos (todos)","Clics únicos en el enlace","Costo por clic saliente (USD)","Costo por clic saliente único (USD)","Costo por visita a la página de destino (USD)","Visitas a la página de destino del sitio web","Visitas al perfil de Instagram","Costo por Me gusta (USD)","Me gusta en Facebook","Seguimientos de Instagram","Comentarios de publicaciones","Costo por interacción con la página (USD)",instagram_upcoming_event_reminders_set,"Reacciones a publicaciones","Costo por interacción con una publicación (USD)",cost_per_action_type:group_join,"Costo por respuesta al evento (USD)",ar_effect_share:ar_effect_share,"Interacción con la página","Interacciones con la publicación","Registros de visitas","Respuestas a eventos",actions:group_join,"Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones","Contactos de mensajes",onsite_conversion_returning_messaging_connection,"Costo por mensaje entregado",cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_conversation_replied_7d,"Conversaciones con mensajes iniciadas","CTR de mensajes de marketing","Mensajes entregados","Mensajes de marketing leídos","Costo por contacto de mensajes (USD)"," (USD)",cost_per_onsite_conversion_returning_messaging_connection,"Costo por conversación con mensajes iniciada (USD)",actions:onsite_conversion.messaging_welcome_message_view,actions:onsite_conversion.messaging_user_subscribed,"Nuevos contactos de mensajes",actions:onsite_conversion.messaging_user_call_placed,actions:click_to_call_native_call_placed,actions:click_to_call_callback_request_submitted,Bloqueos,actions:click_to_call_native_20s_call_connect,actions:click_to_call_native_60s_call_connect,actions:onsite_conversion.messaging_20s_call_connect,actions:onsite_conversion.messaging_60s_call_connect,"Porcentaje de reproducciones de video de 3 segundos por impresiones","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video","Entrega del conjunto de anuncios","Fecha de creación","Fecha de última edición","Inicio del informe",Inicio,"Fin del informe",Objetivo,"Identificador de la campaña","Nombre de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Identificador de la cuenta",url_tags,instant_experience_element_reach:instant_experience_element_impression,"Impresiones de actualización automática",instant_experience_element_impressions:instant_experience_element_impression,"Impresiones totales (incluye impresiones no válidas de tráfico no atribuible a personas)","Porcentaje de visualización de la experiencia instantánea","Tiempo de visualización de la experiencia instantánea","Costo por mejora de recuerdo del anuncio (USD)","Índice de mejora de recuerdo del anuncio","Mejora de recuerdo del anuncio","Clics para iniciar la experiencia instantánea","Clics para abrir la experiencia instantánea","Clics salientes de experiencia instantánea","Porcentaje de compras por clics en el enlace","Porcentaje de compras por visitas a la página de destino","Porcentaje de resultados por clics en el enlace","Porcentaje de visitas a la página de destino por clics en el enlace","Costo por retención de día 2 en la app para celulares (USD)","Costo por retención de día 7 en la app para celulares (USD)","Retención de día 2 en la app para celulares","Valor de conversión de compras promedio","Retención de día 7 en la app para celulares",CVR,Frecuencia,%,"Interacciones sin reproducciones mínimas","Sesion Exitosa","VTR (Thruplay)"
"[BUK] 21/03 - Reel - Solo queríamos saber su sab",inactive,504,actions:post_engagement,0.02914683,10,Diario,14.69,2138,403,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,23.57343312,,5.305211,36.451613,6.870907,396,2103,1936,0.13729,0.031255,,107,470,,,4,,0,,,,,3.6725,,,3.6725,,0.187091,0,0.992556,,,4,,,,,,4,,,0,,0.029147,,34,0.029147,,,,504,504,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,21.983162,151,89,65,57,52,6,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290735320055,120240665952050055,3327383120855148,,,0,,2138,0,0,0.2938,12.40694789,50,0,0,,0,0,,0,,,,,,,5.30521092,0,86,,0.05004677
"[BUK] 22/03 - Reel - Empieza este nuevo ciclo c",inactive,610,actions:post_engagement,0.02381967,10,Diario,14.53,2064,381,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,29.55426357,,5.417323,38.136483,7.039729,375,2091,1829,0.071225,0.025536,,204,569,,,4,,0,,,,,3.6325,,,3.6325,,0.193798,0,1.049869,,,4,,,,,,3,,,0,,0.02382,,36,0.02382,,,,610,610,,,,,5,,,0,,,,0,0,0,,,,,,,,,,,,,,,,27.567829,307,221,171,103,99,8,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290762410055,120240665952050055,3327383120855148,,,0,,2064,0,0,0.2906,13.12335958,50,0,0,,0,0,,0,,,,,,,5.41732283,0,140,,0.09883721
"[BUK] 24/03 - Reel - Player 1: Agua. Player 2: Buk",not_delivering,370,actions:post_engagement,0.03072973,10,Diario,11.37,1592,366,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:03:30-0500,-,-,-,"[BUK] Segmentos de Seguidores",,,23.24120603,,4.349727,31.065574,7.14196,356,1579,1419,0.145769,0.032767,,78,347,,,6,,0,,,,,1.895,,,1.895,,0.376884,0,1.639344,,,6,,,,,,9,,,0,,0.03073,,21,0.03073,,,,370,370,,,,,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,21.796482,141,80,59,45,43,15,completed,2026-03-25,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290767710055,120240665952050055,3327383120855148,,,0,,1593,0,0,0.2274,13.66120219,50,0,0,,0,0,,0,,,,,,,4.34972678,0,66,,0.04899497
"[BUK] 24/03 - Reel - Player 1: Agua. Player 2: Buk - Copia",inactive,2144,actions:post_engagement,0.0017444,20,Diario,3.74,4994,4994,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,42.93151782,,1,0.748899,0.748899,4904,5735,5008,0.005209,0.001777,,718,2105,,,8,,0,,,,,0.4675,,,0.4675,,0.160192,0,0.160192,,,8,,,,,,8,,,0,2,0.001744,,32,0.001744,,,,2144,2144,,,,3,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,42.150581,1404,954,662,343,304,8,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290786320055,120240666519970055,3327383120855148,,,0,,4994,0,0,0.01289655,5.80696836,290,0,0,,0,0,,0,,,,,,,1,0,343,,0.14377253
"[BUK] 19/03 - Reel - Susurrarle la respuesta a tu - Copia",inactive,447,actions:post_engagement,0.00147651,20,Diario,0.66,887,883,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,50.3945885,,1.00453,0.747452,0.744081,867,1027,909,0.005077,0.001493,,130,442,,,1,,0,,,,,0.66,,,0.66,,0.11274,0,0.11325,,,1,,,,,,1,,,0,1,0.001477,,4,0.001477,,,,447,447,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,49.830891,271,175,116,61,50,6,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290786330055,120240666519970055,3327383120855148,,,0,,887,0,0,0.011,6.79501699,60,0,0,,0,0,,0,,,,,,,1.00453001,0,55,,0.14656144
"[BUK] 22/03 - Reel - Empieza este nuevo ciclo c - Copia",inactive,48938,actions:post_engagement,0.00181597,20,Diario,88.87,127958,114024,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,38.24536176,,1.122202,0.779397,0.694525,111606,143776,126157,0.005091,0.001849,,17456,48063,,,97,,0,1,,,,0.925729,88.87,88.87,0.916186,0.000782,0.075806,0.000877,0.084193,,,96,1,,,,,74,,,1,26,0.001816,,717,0.001816,,,,48938,48938,,,,112,19,,,0,,,,0,0,0,,,,,,,,,,,,,,,,37.561544,33386,23399,15785,7765,6757,6,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290786340055,120240666519970055,3327383120855148,,,0,,127958,0,0,0.01780962,4.37627166,4990,0,0,,0,0,4893800,0,,,,,,,1.12220234,0,7632,0,0.13641976
"[BUK] 21/03 - Reel - Solo queríamos saber su sab - Copia",inactive,3978,actions:post_engagement,0.0018728,20,Diario,7.45,9629,9552,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:32:09-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - IG",,,41.31270122,,1.008061,0.779941,0.773704,9350,10982,9606,0.005337,0.001912,,1396,3897,,,11,,0,,,,,0.677273,,,0.677273,,0.114238,0,0.115159,,,11,,,,,,10,,,0,5,0.001873,,71,0.001873,,,,3978,3978,,,,3,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,40.471492,2636,1838,1274,633,551,6,completed,2026-03-25,2026-03-30,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290786350055,120240666519970055,3327383120855148,,,0,,9629,0,0,0.0140566,5.54857621,530,0,0,,0,0,,0,,,,,,,1.00806114,0,632,,0.14497871
"[BUK] 17/03 - Reel - Susurrarle la respuesta a tu",not_delivering,231,actions:post_engagement,0.00073593,10,Diario,0.17,351,340,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:30:46-0500,-,-,-,"[BUK] Segmentos Jóvenes - FB",,,65.81196581,,1.032353,0.5,0.48433,334,407,346,0.002179,0.000742,,78,229,,,3,,0,2,,,,0.056667,0.085,0.085,0.056667,0.569801,0.854701,0.588235,0.882353,,,3,2,,,,,0,,,0,,0.000736,,,0.000736,,,,231,231,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,65.242165,166,103,72,37,33,10,completed,2026-03-25,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290826240055,120240666282360055,3327383120855148,,,0,,351,0,0,0.017,2.94117647,10,0,0,,0,0,11550,0,,,,,,,1.03235294,0,35,0,0.22222222
"[BUK] 21/03 - Reel - Solo queríamos saber su sab",not_delivering,3516,actions:post_engagement,0.00108646,10,Diario,3.82,5833,5833,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:30:46-0500,Promedio,Promedio,"Por encima del promedio","[BUK] Segmentos Jóvenes - FB",,,60.27773016,,1,0.654895,0.654895,5715,6041,5646,0.003926,0.001091,,973,3500,,,71,,0,,,,,0.053803,,,0.053803,,1.217212,0,1.217212,,,71,,,,,,0,,,0,,0.001086,,14,0.001086,,,,3516,3516,,,,,2,,,0,,,,0,0,0,,,,,,,,,,,,,,,,60.003429,1416,776,559,418,259,9,completed,2026-03-25,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290846040055,120240666282360055,3327383120855148,,,0,,5833,0,0,0.023875,2.74301389,160,0,0,,0,0,,0,,,,,,,1,0,275,,0.16680953
"[BUK] 22/03 - Reel - Empieza este nuevo ciclo co",not_delivering,90229,actions:post_engagement,0.00057653,10,Diario,52.02,118208,115338,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T12:30:46-0500,Promedio,"Por encima del promedio","Por encima del promedio","[BUK] Segmentos Jóvenes - FB",,,76.3307052,,1.024883,0.451022,0.440072,114326,135419,117088,0.00082,0.000582,,63405,89369,,,1570,,0,342,,,,0.033134,0.152105,0.152105,0.033134,0.289321,1.328167,0.29652,1.361217,,,1570,342,,,,,0,,,0,7,0.000577,,438,0.000577,,,,90229,90229,,,,19,54,,,0,,,,0,0,0,,,,,,,,,,,1,,,,,75.603174,77513,68121,57065,21833,13861,16,completed,2026-03-25,2026-03-25,2026-03-01,2026-03-10,2026-03-31,Interacción,120240665952090055,Buk,120241290882730055,120240666282360055,3327383120855148,,,0,,118209,0,0,0.01516618,2.97386811,3430,0,0,,0,0,26382.74853801,0,,,,,,,1.02488339,0,14721,0,0.53638502
