"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2025-10-01,2025-10-31,"Depile - Día de la madre",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,0,
2025-10-01,2025-10-31,"[Depilé] Obj - Interacción - Septiembre 2025",inactive,,,,800,Total,0,0,0,2025-09-30,"7 días tras clic o 1 día tras visualización",0,0,
2025-10-01,2025-10-31,"[Depilé] Obj. Ventas - Depicare - Septiembre 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,509.24,180564,72235,2025-10-31,"Configuración de atribución múltiple",2.820274,2.499675,28327
2025-10-01,2025-10-31,"[Depilé] Obj. Ventas - Depicare - Septiembre 2025 - Copia",inactive,,,,100,Total,47.57,22745,10752,2025-10-31,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2.091449,2.11542,2047
2025-10-01,2025-10-31,"[Depilé] Obj - Interacción - Octubre 2025",inactive,74733,actions:post_engagement,0.0038679,"Con el presupuesto del conjunto de anuncios",0,289.06,282228,186205,2025-10-31,"7 días tras clic o 1 día tras visualización",1.024207,1.515684,166
2025-10-01,2025-10-31,"[Depilé] Obj - Interacción - Octubre 2025 - Copia",inactive,30813,actions:post_engagement,0.00559212,"Con el presupuesto del conjunto de anuncios",0,172.31,137533,115408,2025-10-31,"7 días tras clic o 1 día tras visualización",1.252863,1.191711,288
