Ad name,Primary status,Secondary status,Ad group ID,Ad group name,Ad ID,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Conversions,Conversions [SAN],Cost per conversion,Cost per conversion [SAN],"Conversion rate (CVR, clicks) [SAN]",Conversion rate (CVR),Conversion rate (CVR) [SAN],Results,Cost per result,Result rate,Deep funnel result,Cost per deep funnel result,Deep funnel result rate,Secondary source,Primary source,Attribution source,Currency
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457738952737,3.22,0.00,0.28,11551,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",1614,0.00200,"13,97%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457740032018,1.92,0.00,0.27,7007,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",870,0.00221,"12,42%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457740032034,1.80,0.00,0.33,5506,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",992,0.00181,"18,02%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457740032050,17.50,8.75,0.30,58422,2,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",10311,0.00170,"17,65%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457783912450,3.98,0.00,0.43,9246,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",1751,0.00227,"18,94%",-,-,-,TikTok account,Your own content,-,USD
Nombre del anuncio2025-11-21 22:00:17,Paused,Campaign paused;  ; Ad completed,1849457609311489,Videos / Post,1849457783912466,2.67,0.00,0.31,8652,0,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",1230,0.00217,"14,22%",-,-,-,TikTok account,Your own content,-,USD
Video Madre,Paused,Campaign paused; Ad completed,1849273735695506,Video Madre - 16-9,1849273826645041,170.32,42.58,0.30,568250,4,"0,00%",0,0,0.00,0.00,"0,00%","0,00%","0,00%",35009,0.00487,"6,16%",-,-,-,TikTok account,Your own content,-,USD
Total of 7 results,-,-,-,-,-,201.41,33.57,0.30,668634,6,"0,00%",0,-,0.00,-,-,"0,00%",-,-,-,-,-,-,-,-,-,-,USD
